label,freq
E92000001E07000207,
E92000001E07000032,
E92000001E07000092,
E92000001E07000223,
E92000001E07000176,
E92000001E07000144,
E92000001E07000236,
E92000001E08000027,
E92000001E07000238,
E92000001E07000053,
S92000003S12000033,
S92000003S12000042,
E92000001E07000073,
E92000001E06000050,
W92000004W06000018,
E92000001E06000019,
E92000001E07000085,
E92000001E07000152,
E92000001E07000212,
W92000004W06000004,
E92000001E07000071,
E92000001E06000010,
E92000001E07000098,
E92000001E08000032,
E92000001E07000180,
E92000001E08000006,
S92000003S12000020,
E92000001E07000110,
E92000001E07000204,
E92000001E07000074,
E92000001E07000211,
E92000001E08000033,
E92000001E07000027,
E92000001E07000164,
E92000001E07000146,
E92000001E07000136,
E92000001E07000094,
E92000001E06000012,
S92000003S12000011,
E92000001E08000004,
E92000001E06000041,
E92000001E08000036,
W92000004W06000021,
E92000001E08000029,
E92000001E07000043,
E92000001E08000014,
E92000001E06000049,
E92000001E07000171,
E92000001E07000239,
E92000001E08000013,
E92000001E07000116,
S92000003S12000014,
E92000001E06000026,
E92000001E06000031,
E92000001E07000181,
E92000001E08000035,
S92000003S12000036,
E92000001E07000051,
E92000001E07000005,
W92000004W06000014,
E92000001E07000039,
E92000001E07000155,
E92000001E06000042,
E92000001E06000002,
S92000003S12000008,
S92000003S12000041,
E92000001E07000006,
E92000001E07000044,
E92000001E07000007,
E92000001E07000069,
E92000001E07000228,
E92000001E07000009,
E92000001E07000206,
E92000001E06000043,
E92000001E07000163,
S92000003S12000021,
E92000001E08000016,
E92000001E07000100,
E92000001E07000178,
E92000001E07000076,
E92000001E07000215,
E92000001E07000135,
E92000001E07000067,
E92000001E08000012,
E92000001E07000091,
E92000001E08000015,
E92000001E06000028,
E92000001E07000028,
E92000001E07000235,
E92000001E07000123,
E92000001E07000139,
S92000003S12000017,
W92000004W06000009,
E92000001E07000167,
E92000001E06000022,
E92000001E07000192,
E92000001E07000061,
E92000001E07000172,
E92000001E07000202,
E92000001E07000154,
E92000001E07000214,
E92000001E07000086,
E92000001E07000147,
E92000001E08000025,
E92000001E07000049,
E92000001E07000046,
E92000001E06000004,
S92000003S12000024,
E92000001E07000169,
